03:15 Converse_Boy: t
03:18 Converse_Boy: §2hi
03:18 Converse_Boy: §3hi
03:18 Converse_Boy: §4hi
03:18 Converse_Boy: mhm
03:23 GOTeamLeoGO : hmm
04:05 Donald_JTrump: Hello
04:06 Donald_JTrump: Are you new to the server?
18:42 xSpiderMan     : /r do /speak KragenClaw ( Text ) 
18:42 KragenClaw     : that is not my skin
18:42 KragenClaw     : . My father is darth vader
18:43 KragenClaw     : you all suck
18:43 KragenClaw     : . I suck guys
18:43 KragenClaw     : see ya
18:43 EmmettGaming   : dont go we are srry
18:43 EmmettGaming   : good job
18:43 xSpiderMan     : And there we have it
18:44 xSpiderMan     : /r WHICH ONE IS U 
18:44 xSpiderMan     : /r kk 
18:44 EmmettGaming   : jump on captain if me
18:44 KragenClaw     : dont make me
18:44 KragenClaw     : . pls dont make me more ugly
18:45 xSpiderMan     : /r look down der 
18:45 xSpiderMan     : /r dont fall 
18:45 EmmettGaming   : /msg xspiderman you know anybodys name 
18:45 KragenClaw     : plz dont make yo mama more ugly
18:45 KragenClaw     : . Srry guys my mom is the ugliest
18:45 EmmettGaming   : do you have to go
18:45 xSpiderMan     : LOL
18:46 EmmettGaming   : lol
18:46 EmmettGaming   : we trolled him good
18:46 xSpiderMan     : I might change my skin
18:46 EmmettGaming   : okay
18:46 xSpiderMan     : brb
18:46 EmmettGaming   : becuse your ugly
18:46 EmmettGaming   : hes gon
18:48 EmmettGaming   : what doe sprl
18:48 EmmettGaming   : what does prl mean
18:48 EmmettGaming   : i foorgot
18:48 KragenClaw     : me too
18:50 EmmettGaming   : why is /flame not working
18:51 EmmettGaming   : /msg kragenclaw hi 
18:51 EmmettGaming   : where are you
18:52 KragenClaw     : over here at this island
18:53 KragenClaw     : sorry
